,class_code,group,category,class,group_des,category_des,class_des
506,7420614,7,42,614,MANUFACTURING AND PRODUCTION,INDUSTRIAL PRODUCTS,Vehicle Components
507,7420615,7,42,615,MANUFACTURING AND PRODUCTION,INDUSTRIAL PRODUCTS,Vehicles
508,7420616,7,42,616,MANUFACTURING AND PRODUCTION,INDUSTRIAL PRODUCTS,"Wood Products Including Charcoal, Paper, Card and Board"
509,7420617,7,42,617,MANUFACTURING AND PRODUCTION,INDUSTRIAL PRODUCTS,Workwear
510,7420765,7,42,765,MANUFACTURING AND PRODUCTION,INDUSTRIAL PRODUCTS,Educational Equipment and Supplies
511,7420767,7,42,767,MANUFACTURING AND PRODUCTION,INDUSTRIAL PRODUCTS,Ice
512,7420781,7,42,781,MANUFACTURING AND PRODUCTION,INDUSTRIAL PRODUCTS,"Fences, Gates and Railings"
513,7420783,7,42,783,MANUFACTURING AND PRODUCTION,INDUSTRIAL PRODUCTS,Access Equipment
514,7420784,7,42,784,MANUFACTURING AND PRODUCTION,INDUSTRIAL PRODUCTS,Car Ports and Steel Buildings
515,7420787,7,42,787,MANUFACTURING AND PRODUCTION,INDUSTRIAL PRODUCTS,"Waste Collection, Processing and Disposal Equipment"
516,7420788,7,42,788,MANUFACTURING AND PRODUCTION,INDUSTRIAL PRODUCTS,Glass Fibre Services
517,7420791,7,42,791,MANUFACTURING AND PRODUCTION,INDUSTRIAL PRODUCTS,"Shelving, Storage, Safes and Vaults"
518,9460656,9,46,656,RETAIL,CLOTHING AND ACCESSORIES,Clothing
519,9460657,9,46,657,RETAIL,CLOTHING AND ACCESSORIES,Footwear
520,9460659,9,46,659,RETAIL,CLOTHING AND ACCESSORIES,Jewellery and Fashion Accessories
521,9460660,9,46,660,RETAIL,CLOTHING AND ACCESSORIES,Lingerie and Hosiery
522,9460797,9,46,797,RETAIL,CLOTHING AND ACCESSORIES,Baby and Nursery Equipment and Children's Clothes
523,9470661,9,47,661,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Bakeries
524,9470662,9,47,662,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Butchers
525,9470663,9,47,663,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Confectioners
526,9470665,9,47,665,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Delicatessens
527,9470666,9,47,666,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Fishmongers
528,9470667,9,47,667,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Frozen Foods
529,9470668,9,47,668,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Green and New Age Goods
530,9470669,9,47,669,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL","Grocers, Farm Shops and Pick Your Own"
531,9470670,9,47,670,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Herbs and Spices
532,9470671,9,47,671,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Alcoholic Drinks Including Off Licences and Wholesalers
533,9470672,9,47,672,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL","Organic, Health, Gourmet and Kosher Foods"
534,9470699,9,47,699,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Convenience Stores and Independent Supermarkets
535,9470703,9,47,703,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Livestock Markets
536,9470705,9,47,705,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Markets
537,9470768,9,47,768,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Cash and Carry
538,9470798,9,47,798,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Tea and Coffee Merchants
539,9470819,9,47,819,RETAIL,"FOOD, DRINK AND MULTI ITEM RETAIL",Supermarket Chains
540,9480674,9,48,674,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Books and Maps
541,9480675,9,48,675,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN","Carpets, Rugs, Soft Furnishings and Needlecraft"
542,9480676,9,48,676,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",China and Glassware
543,9480677,9,48,677,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN","Cosmetics, Toiletries, Perfumes and Hairdressing Supplies"
544,9480678,9,48,678,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Craft Supplies
545,9480679,9,48,679,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Cycles and Accessories
546,9480680,9,48,680,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Diy and Home Improvement
547,9480682,9,48,682,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Furniture
548,9480683,9,48,683,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Garden Centres and Nurseries
549,9480684,9,48,684,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Garden Machinery and Furniture
550,9480685,9,48,685,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",General Household Goods
551,9480686,9,48,686,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN","Hobby, Sports and Pastime Products"
552,9480687,9,48,687,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN","Leather Goods, Luggage and Travel Accessories Including Handbags"
553,9480688,9,48,688,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Lighting
554,9480689,9,48,689,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Music and Video
555,9480690,9,48,690,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Musical Instruments
556,9480691,9,48,691,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN","Pets, Supplies and Services"
557,9480693,9,48,693,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Camping and Caravanning
558,9480694,9,48,694,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Travel Agencies
559,9480700,9,48,700,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Department Stores
560,9480701,9,48,701,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Discount Stores
561,9480704,9,48,704,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Mail Order and Catalogue Stores
562,9480708,9,48,708,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Shopping Centres and Retail Parks
563,9480710,9,48,710,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Surplus Goods
564,9480712,9,48,712,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Art and Antiques
565,9480714,9,48,714,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Charity Shops
566,9480716,9,48,716,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Florists
567,9480717,9,48,717,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Gifts and Cards
568,9480718,9,48,718,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Party Goods and Novelties
569,9480719,9,48,719,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Secondhand Goods
570,9480720,9,48,720,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Computer Supplies
571,9480721,9,48,721,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Domestic Appliances
572,9480722,9,48,722,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Electrical Goods and Components
573,9480724,9,48,724,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Photographic and Optical Equipment
574,9480725,9,48,725,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Stationery and Office Supplies
575,9480726,9,48,726,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Telephones and Telephone Cards
576,9480763,9,48,763,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Post Offices
577,9480764,9,48,764,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN","Garages, Garden and Portable Buildings"
578,9480766,9,48,766,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Fuel Distributors and Suppliers
579,9480824,9,48,824,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Adult Shops
580,9480827,9,48,827,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Comics Bookshops
581,9480828,9,48,828,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Computer Shops
582,9480831,9,48,831,RETAIL,"HOUSEHOLD, OFFICE, LEISURE AND GARDEN",Potteries
583,9490695,9,49,695,RETAIL,MOTORING,New Vehicles
584,9490696,9,49,696,RETAIL,MOTORING,Secondhand Vehicles
585,9490697,9,49,697,RETAIL,MOTORING,Vehicle Auctions
586,9490698,9,49,698,RETAIL,MOTORING,Vehicle Parts and Accessories
587,10530727,10,53,727,TRANSPORT,AIR,Aeronautical Features
588,10530728,10,53,728,TRANSPORT,AIR,Airports and Landing Strips
589,10530729,10,53,729,TRANSPORT,AIR,Helipads
590,10540730,10,54,730,TRANSPORT,ROAD AND RAIL,Bridges
591,10540733,10,54,733,TRANSPORT,ROAD AND RAIL,Cattle Grids
592,10540734,10,54,734,TRANSPORT,ROAD AND RAIL,Fords and Level Crossings
593,10540735,10,54,735,TRANSPORT,ROAD AND RAIL,Motorway Service Stations
594,10540736,10,54,736,TRANSPORT,ROAD AND RAIL,Parking
595,10540737,10,54,737,TRANSPORT,ROAD AND RAIL,Petrol and Fuel Stations
596,10540739,10,54,739,TRANSPORT,ROAD AND RAIL,Roadside Telephone Boxes
597,10540740,10,54,740,TRANSPORT,ROAD AND RAIL,Signalling Facilities
598,10540742,10,54,742,TRANSPORT,ROAD AND RAIL,Tunnels
599,10540743,10,54,743,TRANSPORT,ROAD AND RAIL,Viaducts
600,10540744,10,54,744,TRANSPORT,ROAD AND RAIL,Weighbridges
601,10550746,10,55,746,TRANSPORT,WALKING,"Finger Posts, Guide Posts and Cairns"
602,10550747,10,55,747,TRANSPORT,WALKING,Footbridges
603,10550749,10,55,749,TRANSPORT,WALKING,Stepping Stones
604,10550750,10,55,750,TRANSPORT,WALKING,Subways
605,10560751,10,56,751,TRANSPORT,WATER,Aqueducts
606,10560752,10,56,752,TRANSPORT,WATER,Locks
607,10560753,10,56,753,TRANSPORT,WATER,Moorings and Unloading Facilities
608,10560754,10,56,754,TRANSPORT,WATER,Rivers and Canal Organisations and Infrastructure
609,10560755,10,56,755,TRANSPORT,WATER,"Weirs, Sluices and Dams"
610,10560760,10,56,760,TRANSPORT,WATER,Ferries and Ferry Terminals
611,10570731,10,57,731,TRANSPORT,"PUBLIC TRANSPORT, STATIONS AND INFRASTRUCTURE","Bus and Coach Stations, Depots and Companies"
612,10570738,10,57,738,TRANSPORT,"PUBLIC TRANSPORT, STATIONS AND INFRASTRUCTURE","Railway Stations, Junctions and Halts"
613,10570756,10,57,756,TRANSPORT,"PUBLIC TRANSPORT, STATIONS AND INFRASTRUCTURE","Tram, Metro and Light Railway Stations and Stops"
614,10570758,10,57,758,TRANSPORT,"PUBLIC TRANSPORT, STATIONS AND INFRASTRUCTURE",Taxi Ranks
615,10570761,10,57,761,TRANSPORT,"PUBLIC TRANSPORT, STATIONS AND INFRASTRUCTURE",Underground Network Stations
616,10570794,10,57,794,TRANSPORT,"PUBLIC TRANSPORT, STATIONS AND INFRASTRUCTURE",London Underground Entrances
617,10590732,10,59,732,TRANSPORT,BUS TRANSPORT,Bus Stops
618,10590759,10,59,759,TRANSPORT,BUS TRANSPORT,Hail and Ride Zones
